total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,cardiovasc_death_rate,diabetes_prevalence,hospital_beds_per_thousand,life_expectancy,human_development_index,stringency_category,location
5077265.333333333,7759.666666666667,10035.476333333334,108848.66666666667,135.66666666666666,226.762,112339.37466666667,171.69,222.04466666666667,2408.3813333333333,3.0016666666666665,5.017333333333333,0.8833333333333333,0.0,45195777.0,16.177,31.9,11.198,7.441,18933.907,191.032,5.5,5.0,76.67,0.845,0.0,Argentina
5053541.333333333,12392.666666666666,11129.809666666666,108374.0,202.66666666666666,233.57166666666666,111814.45833333333,274.19966666666664,246.258,2397.879,4.484333333333334,5.168,0.8866666666666667,0.0,45195777.0,16.177,31.9,11.198,7.441,18933.907,191.032,5.5,5.0,76.67,0.845,0.0,Argentina
5053541.333333333,12392.666666666666,11129.809666666666,108374.0,202.66666666666666,233.57166666666666,111814.45833333333,274.19966666666664,246.258,2397.879,4.484333333333334,5.168,0.8866666666666667,0.0,45195777.0,16.177,31.9,11.198,7.441,18933.907,191.032,5.5,5.0,76.67,0.845,0.0,Argentina
5053541.333333333,12392.666666666666,11129.809666666666,108374.0,202.66666666666666,233.57166666666666,111814.45833333333,274.19966666666664,246.258,2397.879,4.484333333333334,5.168,0.8866666666666667,0.0,45195777.0,16.177,31.9,11.198,7.441,18933.907,191.032,5.5,5.0,76.67,0.845,0.0,Argentina
5053541.333333333,12392.666666666666,11129.809666666666,108374.0,202.66666666666666,233.57166666666666,111814.45833333333,274.19966666666664,246.258,2397.879,4.484333333333334,5.168,0.8866666666666667,0.0,45195777.0,16.177,31.9,11.198,7.441,18933.907,191.032,5.5,5.0,76.67,0.845,0.0,Argentina
5053541.333333333,12392.666666666666,11129.809666666666,108374.0,202.66666666666666,233.57166666666666,111814.45833333333,274.19966666666664,246.258,2397.879,4.484333333333334,5.168,0.8866666666666667,0.0,45195777.0,16.177,31.9,11.198,7.441,18933.907,191.032,5.5,5.0,76.67,0.845,0.0,Argentina
5053541.333333333,12392.666666666666,11129.809666666666,108374.0,202.66666666666666,233.57166666666666,111814.45833333333,274.19966666666664,246.258,2397.879,4.484333333333334,5.168,0.8866666666666667,0.0,45195777.0,16.177,31.9,11.198,7.441,18933.907,191.032,5.5,5.0,76.67,0.845,0.0,Argentina
5053541.333333333,12392.666666666666,11129.809666666666,108374.0,202.66666666666666,233.57166666666666,111814.45833333333,274.19966666666664,246.258,2397.879,4.484333333333334,5.168,0.8866666666666667,0.0,45195777.0,16.177,31.9,11.198,7.441,18933.907,191.032,5.5,5.0,76.67,0.845,0.0,Argentina
5053541.333333333,12392.666666666666,11129.809666666666,108374.0,202.66666666666666,233.57166666666666,111814.45833333333,274.19966666666664,246.258,2397.879,4.484333333333334,5.168,0.8866666666666667,0.0,45195777.0,16.177,31.9,11.198,7.441,18933.907,191.032,5.5,5.0,76.67,0.845,0.0,Argentina
5053541.333333333,12392.666666666666,11129.809666666666,108374.0,202.66666666666666,233.57166666666666,111814.45833333333,274.19966666666664,246.258,2397.879,4.484333333333334,5.168,0.8866666666666667,0.0,45195777.0,16.177,31.9,11.198,7.441,18933.907,191.032,5.5,5.0,76.67,0.845,0.0,Argentina
